ID,category,Question Text,Option A,Option B,Option C,Option D,Option E,Score A,Score B,Score C,Score D,Score E
11,Academic Aptitude & Learning Style, You understand a new concept best when:,Someone explains it step-by-step with clear logic,I see a visual diagram or real-world example,"I try to do it myself, even imperfectly",I read about it in depth at my own pace,I discuss it with someone and build understanding together,4,3,2,1,1
12,Academic Aptitude & Learning Style, Which describes your relationship with exams?,I perform well when I understand the topic; memorising is harder,I'm a strong memoriser and reproduce well under pressure,I do better on projects and continuous assessment than exams,I overthink during exams even when I know the material,My performance depends heavily on the subject,4,3,2,1,1
13,Academic Aptitude & Learning Style," Rate yourself: I enjoy subjects that require logical step-by-step reasoning (Maths, Physics, Economics).",Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
14,Academic Aptitude & Learning Style," Rate yourself: I enjoy subjects that require interpretation and expression (Literature, History, Psychology).",Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
15,Academic Aptitude & Learning Style," When you don't understand something in class, you typically:",Ask the teacher immediately,Wait and look it up later on your own,Ask a classmate after class,Move on and hope it becomes clearer,Try to work it out logically from what I already know,4,3,2,1,1
16,Digital & Technological Orientation," When you get a new app or device, you usually:",Read the manual or tutorial first,Explore everything on your own until you figure it out,Ask someone who already knows how to use it,Only use the features I need and nothing more,Look for hacks or shortcuts others haven't found,4,3,2,1,1
17,Digital & Technological Orientation, Which of the following excites you most about technology?,"Building things — apps, websites, systems",Using it to solve real social or environmental problems,The business and entrepreneurship side of tech,How it changes human behaviour and society,I'm not particularly excited about technology,4,3,2,1,1
18,Digital & Technological Orientation, Rate yourself: I'm comfortable learning new digital tools on my own without formal training.,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
19,Digital & Technological Orientation," Have you ever built, designed, or created something using a digital tool (app, video, website, game, design)?","Yes, multiple times and I enjoyed it","Yes, once or twice as part of a school project","No, but I'd like to try","No, and I don't have a strong interest in doing so",I've thought about it but don't know where to start,4,3,2,1,1
20,Digital & Technological Orientation," Rate yourself: I follow developments in AI, tech startups, or digital trends even outside school.",Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
21,Values & Lifestyle Priorities, Which of these matters most to you in a future career?,Financial security and a stable income,Doing work that has social or environmental impact,Being recognised and respected in my field,Freedom to work independently and on my own terms,Continuous learning and intellectual challenge,4,3,2,1,1
22,Values & Lifestyle Priorities, How important is it to you that your work aligns with your personal values?,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
23,Values & Lifestyle Priorities, Scenario: You get two job offers after college. One pays 30% more but involves work you find morally questionable. The other pays less but aligns with your values. What do you do?,Take the higher-paying one — I can manage my values separately,Take the values-aligned one without hesitation,Negotiate with the higher-paying company to change the problematic aspects,It depends entirely on how questionable the work is,I'd take the higher-paying one short-term and plan to switch later,4,3,2,1,1
24,Values & Lifestyle Priorities, Which environment do you imagine thriving in most?,A large structured organisation with clear career paths,A small startup where I wear many hats,My own business or freelance practice,An academic or research institution,A government or public sector role,4,3,2,1,1
25,Values & Lifestyle Priorities, Rate yourself: I need variety and change in my day-to-day work to feel engaged.,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
26,Financial Awareness & Constraints, How would you describe your family's ability to fund higher education?,Comfortable — cost isn't a significant constraint,Moderate — we can fund local/state options but private/abroad is a stretch,Limited — I'll likely need scholarships or loans,I don't know the full picture yet,I prefer not to answer,4,3,2,1,1
27,Financial Awareness & Constraints, Would you consider studying abroad for your undergraduate degree?,"Yes, it's a strong priority for me","Yes, but only with a scholarship or financial support",Maybe — I'm open but haven't researched it,"No, I prefer to stay in India","No, family or personal circumstances make it unlikely",4,3,2,1,1
28,Financial Awareness & Constraints, How important is it to you to start earning relatively quickly after completing your education?,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
29,Financial Awareness & Constraints, Are you aware of scholarship or loan options available for the fields you're interested in?,"Yes, I've already researched specific options",Somewhat — I know they exist but haven't looked closely,"No, I haven't thought about this yet","My family handles financial decisions, not me",I know but the options in my field are limited,4,3,2,1,1
30,Financial Awareness & Constraints," Rate yourself: I'm willing to take a financially uncertain path (entrepreneurship, arts, research) if it aligns with my passion.",Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
31,Risk Appetite & Ambiguity Tolerance," When you face a decision with no clear right answer, you typically:",Feel uncomfortable and seek more information before acting,Make a call quickly and adjust as I go,Consult others and go with the consensus,Trust my instincts even if I can't explain them,Delay the decision as long as possible,4,3,2,1,1
32,Risk Appetite & Ambiguity Tolerance, Rate yourself: I'm okay with starting something without knowing how it will turn out.,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
33,Risk Appetite & Ambiguity Tolerance, A friend invites you to co-found a student startup. It has potential but no guaranteed outcome. Your reaction is:,Excited — I'd jump in immediately,Interested — I'd want to see a basic plan first,Cautious — I'd join in a limited role to test the waters,Hesitant — I'd rather focus on my studies,Not interested — startups feel too uncertain for me,4,3,2,1,1
34,Risk Appetite & Ambiguity Tolerance," Rate yourself: I prefer career paths where I can see a clear, defined progression (e.g. engineering → job → promotion).",Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
35,Risk Appetite & Ambiguity Tolerance," When a plan fails or changes unexpectedly, you:",Adapt quickly and look for a new path,Feel stressed but eventually recover,Need time to process before moving forward,Try to analyse what went wrong before acting,Look to others to tell me what to do next,4,3,2,1,1
36,Emotional & Social Competence," In a group project, you naturally tend to:",Take the lead and organise everyone,Do the most technically demanding part quietly,Keep the team motivated and manage conflict,Handle communication with the outside world,Follow instructions and execute reliably,4,3,2,1,1
37,Emotional & Social Competence, Rate yourself: I find it easy to read how others are feeling in a conversation.,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
38,Emotional & Social Competence," When you're stressed or overwhelmed, you tend to:",Talk to someone I trust,Work through it on my own — space helps,Distract myself until I feel better,Try to solve whatever is causing the stress directly,Shut down and find it hard to function,4,3,2,1,1
39,Emotional & Social Competence, How comfortable are you meeting and building rapport with new people?,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
40,Emotional & Social Competence, Scenario: A classmate takes credit for your idea in front of a teacher. You:,Speak up immediately and calmly clarify,Feel hurt but stay quiet to avoid conflict,Talk to the classmate privately afterward,Let it go — it's not worth the friction,Feel angry but don't know how to handle it,4,3,2,1,1
41,Communication & Language Preference, Which form of communication comes most naturally to you?,Speaking — I think on my feet and articulate well verbally,Writing — I express myself better with time to craft my words,"Visual — diagrams, designs, or images communicate my ideas best",Numbers and data — I prefer to let evidence speak,Storytelling — I naturally communicate through examples and narratives,4,3,2,1,1
42,Communication & Language Preference," Rate yourself: I enjoy persuading others — making a case, winning an argument, or changing someone's mind.",Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
43,Communication & Language Preference," In a debate or discussion, you are more likely to:",State your position clearly and defend it,Listen carefully and synthesise all views before speaking,Play devil's advocate and challenge assumptions,Find a middle ground that everyone can accept,Stay quiet unless I feel I have something unique to add,4,3,2,1,1
44,Communication & Language Preference," Rate yourself: I'm comfortable writing long-form content — essays, reports, articles.",Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
45,Personal Management & Wellness, How would you describe your relationship with deadlines?,I plan ahead and finish early,I work best under mild pressure — start a day or two before,I tend to leave things to the last minute but usually deliver,I struggle with deadlines and often miss them,It depends entirely on whether I'm interested in the task,4,3,2,1,1
46,Personal Management & Wellness, Rate yourself: I can maintain focus on a single task for extended periods without getting distracted.,Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
47,Personal Management & Wellness," When you're going through a difficult period (exams, stress, conflict), you:",Have clear routines that help me stay grounded,Rely on friends or family for support,Withdraw and need alone time to recover,Push through by sheer willpower,Find it hard to function until the pressure passes,4,3,2,1,1
48,Personal Management & Wellness," Rate yourself: I'm aware of what drains my energy and what restores it, and I manage accordingly.",Not at all like me ,Somewhat,Neutral,mostly,Completely like me,4,3,2,1,1
